t,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13
74,37.54714285714285,37.60928571428571,37.39214285714286,37.61428571428571,37.74928571428571,37.79571428571428,37.625,37.54357142857143,37.098571428571425,37.973571428571425,37.464999999999996,38.07714285714286,37.85285714285714
75,37.575,37.64,37.41285714285714,37.550714285714285,37.70642857142857,37.80642857142857,37.67142857142857,37.54571428571428,37.13857142857143,38.01142857142857,37.46857142857142,38.097142857142856,37.87928571428572
76,37.62571428571429,37.67857142857143,37.42714285714285,37.59285714285715,37.74071428571428,37.82357142857143,37.686428571428564,37.542857142857144,37.18071428571428,38.03785714285715,37.50214285714286,38.10428571428571,37.887857142857136
77,37.66857142857142,37.70214285714285,37.451428571428565,37.71642857142857,37.75714285714286,37.81642857142857,37.68428571428571,37.555714285714295,37.214999999999996,38.06642857142857,37.486428571428576,38.094285714285725,37.89571428571429
78,37.72571428571429,37.71071428571429,37.46642857142857,37.78357142857143,37.82928571428571,37.81,37.674285714285716,37.56214285714285,37.22071428571429,38.089285714285715,37.480714285714285,38.080000000000005,37.90785714285715
79,37.753571428571426,37.68,37.45785714285715,37.84928571428571,37.89214285714285,37.82714285714286,37.69285714285714,37.58142857142856,37.15428571428571,38.11,37.48642857142857,38.080714285714286,37.90071428571429
80,37.78285714285715,37.68,37.489285714285714,37.865,37.722857142857144,37.825,37.69785714285715,37.61000000000001,37.14857142857143,38.11714285714286,37.48428571428571,38.06357142857143,37.87357142857143
81,37.84642857142857,37.70428571428572,37.54571428571428,37.85142857142857,37.785714285714285,37.794285714285714,37.70071428571429,37.615,37.197142857142865,38.13928571428572,37.51714285714286,38.042857142857144,37.85857142857143
82,37.861428571428576,37.72785714285715,37.53357142857143,37.87214285714286,37.80285714285714,37.81285714285714,37.71,37.64,37.18928571428571,38.152857142857144,37.545,38.02928571428572,37.85785714285714
83,37.864285714285714,37.737142857142864,37.502857142857145,37.90714285714286,37.74714285714286,37.83428571428571,37.71071428571429,37.614285714285714,37.15428571428571,38.167142857142856,37.55642857142857,38.02142857142858,37.88
84,37.85642857142857,37.729285714285716,37.50071428571429,37.92,37.86142857142857,37.86642857142857,37.720000000000006,37.59928571428572,37.20285714285715,38.183571428571426,37.58142857142857,38.09357142857142,37.89642857142858
85,37.855714285714285,37.728571428571435,37.49285714285714,37.94714285714285,37.85928571428571,37.87357142857143,37.73428571428571,37.605000000000004,37.24214285714286,38.19785714285715,37.67428571428571,38.134285714285724,37.92857142857143
86,37.89785714285714,37.76642857142857,37.49928571428571,37.95428571428572,37.78857142857142,37.86142857142857,37.757857142857155,37.61571428571428,37.225,38.22142857142857,37.68378472785714,38.16142857142857,37.96785714285714
87,37.933571428571426,37.76714285714285,37.49071428571428,37.99214285714286,37.91142857142857,37.88214285714286,37.76428571428573,37.635,37.230714285714285,38.20928571428572,37.53142857142857,38.17285714285714,37.964285714285715
88,37.97571428571429,37.763571428571424,37.48785714285714,37.96142857142856,37.958571428571425,37.88999999999999,37.756428571428565,37.64214285714286,37.24928571428571,38.22428571428571,37.544285714285714,38.184285714285714,37.95142857142857
89,37.99785714285714,37.769999999999996,37.53214285714286,37.90642857142858,37.912142857142854,37.895714285714284,37.778571428571425,37.65785714285715,37.25857142857142,38.20642857142857,37.46214285714286,38.18714285714285,37.97285714285714
90,38.00214285714286,37.778571428571425,37.55214285714286,37.98071428571428,37.94857142857143,37.89357142857143,37.78357142857143,37.65071428571429,37.24,38.17785714285714,37.457857142857144,38.18071428571428,37.965714285714284
