t,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13
170,19.0,72.0,16.0,68.0,69.0,68.0,15.0,64.0,78.0,90.0,41.0,39.0,37.0
171,42.0,90.0,49.0,76.0,96.0,77.0,42.0,80.0,74.0,101.0,79.0,19.0,68.0
172,29.0,47.0,32.0,35.0,66.0,68.0,16.0,60.0,104.0,28.0,54.0,60.0,49.0
173,14.0,94.0,10.0,45.0,56.0,81.0,61.0,45.0,89.0,80.0,102.0,9.0,42.0
174,17.0,57.0,22.0,5.0,94.0,49.0,48.0,63.0,68.0,66.0,16.0,0.0,66.0
175,24.0,50.0,13.0,67.0,81.0,35.0,37.0,62.0,51.0,69.0,1.0,0.0,32.0
176,12.0,40.0,9.0,72.0,84.0,60.0,37.0,44.0,86.0,26.0,8.0,5.0,8.0
177,10.0,83.0,25.0,29.0,38.0,33.0,46.0,59.0,66.0,33.0,0.0,58.0,1.0
178,41.0,91.0,34.0,50.0,7.0,42.0,70.0,19.0,84.0,14.0,0.0,60.0,23.0
179,8.0,66.0,20.0,46.0,22.0,24.0,33.0,34.0,48.0,23.0,8.0,63.0,31.0
180,67.0,58.0,8.0,5.0,87.0,52.0,13.0,12.0,31.0,74.0,56.0,14.0,51.0
181,38.0,88.0,31.0,42.0,72.0,33.0,30.0,4.0,16.0,25.0,0.0,0.0,44.0
182,22.0,87.0,40.0,6.0,99.0,47.0,34.0,87.0,22.0,51.0,0.0,51.0,38.0
183,20.0,64.0,68.0,52.0,40.0,15.0,30.0,87.0,9.0,29.0,0.0,76.0,18.0
184,12.0,33.0,56.0,31.0,30.0,52.0,39.0,74.0,51.0,78.0,0.0,16.0,57.0
185,63.0,15.0,76.0,64.0,114.3688469,76.0,28.0,69.0,80.0,90.0,0.0,33.0,30.0
186,31.0,72.0,47.0,47.0,102.0,40.0,79.0,65.0,84.0,52.0,0.0,69.0,26.0
187,34.0,75.0,2.0,63.0,2.0,7.0,41.0,45.0,84.0,88.0,0.0,65.0,61.0
188,6.0,81.0,43.0,53.0,0.0,61.0,56.0,29.0,34.0,52.0,0.0,75.0,21.0
189,51.0,35.0,18.0,49.0,67.0,53.0,37.0,29.0,36.0,91.0,0.0,72.0,60.0
190,31.0,48.0,21.0,48.0,93.0,53.0,60.0,42.0,45.0,60.0,0.0,29.0,74.0
191,46.0,91.0,11.0,47.0,71.0,23.0,75.0,0.0,65.0,68.0,0.0,7.0,40.0
192,18.0,97.0,29.0,54.0,79.0,0.0,28.0,0.0,78.0,61.0,0.0,2.0,68.0
193,30.0,90.0,0.0,38.0,75.0,0.0,45.0,0.0,40.0,48.0,45.0,8.0,29.0
194,7.0,88.0,22.0,44.0,71.0,14.0,18.0,18.0,79.0,27.0,54.0,5.0,2.0
195,0.0,59.0,40.0,70.0,68.0,36.0,40.0,67.0,35.0,22.0,51.0,23.0,49.0
196,4.0,81.0,33.0,51.0,87.0,14.0,23.0,65.0,61.0,26.0,73.0,5.0,62.0
197,22.0,59.0,47.0,76.0,90.0,80.0,41.0,45.0,88.0,53.0,34.0,35.0,53.0
198,29.0,86.0,28.0,58.0,89.0,81.0,42.0,61.0,58.0,0.0,6.0,43.0,16.0
199,2.0,76.0,28.0,70.0,79.0,90.0,28.0,69.0,94.0,0.0,59.0,52.0,10.0
200,14.0,82.0,38.0,37.0,79.0,53.0,55.0,50.0,84.0,0.0,43.0,77.0,9.0
201,17.0,15.0,33.0,29.0,108.0,68.0,23.0,73.0,45.0,6.0,76.0,72.0,0.0
202,45.0,61.0,10.0,0.0,114.3688469,77.0,28.0,69.0,38.0,55.0,63.0,7.0,10.0
203,20.0,46.0,13.0,48.0,99.0,84.0,50.0,63.0,63.0,43.0,37.0,52.0,59.0
204,60.0,75.0,28.0,33.0,24.0,82.0,32.0,51.0,84.0,0.0,68.0,97.0,74.0
205,34.0,84.0,33.0,53.0,14.0,39.0,68.0,53.0,88.0,0.0,45.0,12.0,29.0
206,40.0,60.0,26.0,34.0,48.0,30.0,15.0,53.0,81.0,18.0,26.0,3.0,35.0
207,54.0,75.0,0.0,36.0,106.0,6.0,42.0,102.0,61.0,20.0,52.0,4.0,29.0
208,38.0,91.0,48.0,22.0,74.0,41.0,47.0,57.0,63.0,49.0,31.0,9.0,6.0
